Year,Mean_60_90,District_60,District_90
2001,3.5474375,3.530625,3.56425
2002,3.449925,3.40285,3.497
2003,3.6415875,3.597875,3.6853
2004,3.705475,3.718925,3.692025
2005,4.0888,4.0619,4.1157
2006,3.934125,3.9543,3.91395
2007,3.7491875,3.813075,3.6853
2008,3.8500625,3.766,3.934125
2009,4.1190625,4.1695,4.068625
2010,3.99465,4.068625,3.920675
2011,4.2401125,4.1157,4.364525
2012,4.1056125,4.0081,4.203125
2013,4.1695,4.2502,4.0888
2014,4.2064875,4.1426,4.270375
2015,4.3746125,4.391425,4.3578
2016,4.5292875,4.485575,4.573
2017,4.4485875,4.404875,4.4923
2018,4.2502,4.135875,4.364525